ProductName,QuantityPerUnit,CompanyName,Country
Chang,24 - 12 oz bottles,Exotic Liquids,UK
Aniseed Syrup,12 - 550 ml bottles,Exotic Liquids,UK
Genen Shouyu,24 - 250 ml bottles,Mayumi's,Japan
Sasquatch Ale,24 - 12 oz bottles,Bigfoot Breweries,USA
Steeleye Stout,24 - 12 oz bottles,Bigfoot Breweries,USA
Côte de Blaye,12 - 75 cl bottles,Aux joyeux ecclésiastiques,France
Chartreuse verte,750 cc per bottle,Aux joyeux ecclésiastiques,France
Sirop d'érable,24 - 500 ml bottles,Forêts d'érables,Canada
Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,New Orleans Cajun Delights,USA
Laughing Lumberjack Lager,24 - 12 oz bottles,Bigfoot Breweries,USA
Outback Lager,24 - 355 ml bottles,"Pavlova, Ltd.",Australia
Rhönbräu Klosterbier,24 - 0.5 l bottles,Plutzer Lebensmittelgroßmärkte AG,Germany
